Song Title,Lyrics
"Goodbye, My Danish Sweetheart","There's nobody better than you <br> It took me a while till I knew <br> But you knew from the start it was us, didn't you? <br> It just took me a while till I knew <br> Now I lay as I study a blank wall <br> Would you spare me your voice if I call? <br> 'Cause you waited and watered my heart till it grew <br> You just grew a little smarter too <br> So I don't blame you if you want to <br> Bury me in your memory, I'm not the girl I ought to be, but <br> Maybe when you tell your friends, you <br> Can tell them what you saw in me, and not how I turned out to be <br> There's some kind of burning inside me <br> It's kept me from falling apart <br> And I'm sure that you've seen what it's done to my heart <br> But it's kept me from falling apart  <br>  <br>  <br>  <br> Now here I lay, as I wonder about you <br> Would you just tell me what I'm meant to do? <br> 'Cause I've waited and watered my heart till it grew <br> You can see how it's blossomed for you <br> And I don't blame you if you want to <br> Bury me in your memory, I'm not the girl I ought to be, but <br> Maybe when you tell your friends, you <br> Can tell them what you saw in me, and not the way I am <br> And I don't mean to make your heart blue <br> But could we be what we're meant to be? <br> I'm just about to beg you please, and <br> Then when you tell your friends, you can <br> Tell them what you saw in me, and <br> Not the way I used to be <br> 'Cause there's nobody better than you."
Happy,"[Verse 1] <br> Happy came to visit me, he bought cookies on the way <br> I poured him tea and he told me it'll all be okay <br> Well I told him I'd do anything to have him stay with me <br> So he laid me down, and I felt Happy come inside of me <br> He laid me down, and I felt happy <br> [Chorus] <br> Oh if you're going, take the train <br> So I can hear it rumble, one last rumble <br> And when you go, take this heart <br> I'll make no more use of it when there's no more you <br> [Verse 2] <br> I was in the bathroom, I didn't hear him leave <br> I locked the door behind him and I turned around to see  <br>  <br>  <br>  <br> All the cookie wrappers and the empty cups of tea <br> Well I sighed and mumbled to myself again, I have to clean <br> I sighed and mumbled to myself <br> [Chorus] <br> If you're going, take the train <br> So I can hear it rumble, one last rumble <br> And when you go, take this heart <br> I'll make no more use of it when there's no more you <br> And if you're going, take the moon <br> Then maybe I will see you, in the night I'll see you <br> And when you go, take this heart <br> I'll make no more use of it when there's no more you"
Heat Lightning,"[Verse 1] <br> Heat lightning running outside the window <br> I've laid awake since one and now it's four o'clock <br> Though I've held on, can't carry it much longer <br> On the ceiling dancing are the things all come and gone <br> [Chorus] <br> And there's nothing I can do, not much I can change <br> So I give it up to you, I hope that's okay <br> There's nothing I can do, not much I can change <br> I give it up to you, I surrender <br> [Verse 2] <br> Heat lightning, watch it from my doorstep <br>  <br>  <br>  <br> Sleeping eyelid of the sky flutters in a dream <br> Well, I've held on, but feel a storm approaching <br> Trees are swaying in the wind like sea anemones <br> [Chorus] <br> And there's nothing I can do, not much I can change <br> Can I give it up to you? Would that be okay? <br> There's nothing I can do, not much I can change <br> I give it up to you, I surrender <br> There's nothing I can do, not much I can change <br> I give it up to you, I surrender"
Humpty,"I'll live in the bathtub <br> It's cool and clean <br> It's smooth and it's steady <br> It's all that I need <br> I broke our belongings <br> They're all on the floor <br> The room is now empty <br> Nothing left to throw <br> All the eggshells are on the ground <br> And I try, I'm trying to pick them up <br> But they crack and crumble, it's much too much <br> Too frail for me to touch <br> (Repeat) <br> I'll live in the bathtub <br> Surrounded by tiles <br> All so square and so steady <br> I will die in their cool, cool arms  <br>  <br>  <br>  <br> I broke what you gave me <br> But you kept giving <br> More <br> And I'm sorry for taking <br> But I keep wanting <br> More, more, more <br> All the eggshells are on the ground <br> And I try, I'm trying to pick them up <br> But they crack and crumble, it's much too much <br> Too frail for me to touch <br> All the eggshells are on the ground <br> And I try, I'm trying to pick them up <br> But Humpty Dumpty it's much too much <br> Too frail for me to touch <br> Humpty Dumpty <br> It's much too much."
I Bet On Losing Dogs,"My baby, my baby <br> You're my baby, say it to me <br> Baby, my baby <br> Tell your baby that I'm your baby <br> I bet on losing dogs <br> I know they're losing and I pay for my place <br> By the ring <br> Where I'll be looking in their eyes when they're down <br> I'll be there on their side <br> I'm losing by their side <br> Will you let me, baby <br> Lose on losing dogs  <br>  <br>  <br>  <br> I know they're losing and I pay for my place <br> By the ring <br> Where I'll be looking in their eyes when they're down <br> I wanna feel it <br> I bet on losing dogs <br> I always want you when I'm finally fine <br> How you'd be over me looking in my eyes when I cum <br> Someone to watch me die <br> Someone to watch me die <br> I bet on losing dogs"
I Don't Smoke,"I don't smoke <br> Except for when I'm missing you <br> To remember your mouth, how it <br> Tasted true <br> And I don't smoke <br> Except for after I've held you, baby <br> Being with you <br> Makes the flame burn good <br> So if you need to be mean <br> Be mean to me <br> I can take it and put it inside of me <br> If your hands need to break <br> More than trinkets in your room <br> You can lean on my arm <br> As you break my heart <br> I'm what's left of when we <br> Swam under the moon <br> Now the rest of my days are just <br> Waiting for when <br> You come down and tell me  <br>  <br>  <br>  <br> I was meant for you, baby <br> Being with you <br> Makes the flame burn good <br> If you need to be mean <br> Be mean to me <br> I can take it and put it inside of me <br> If your hands need to break <br> More than trinkets in your room <br> You can lean on my arm <br> As you break my heart <br> Just don't leave me alone <br> Wondering where you are <br> I am stronger than you give me <br> Credit for <br> If your hands need to break <br> More than trinkets in your room <br> You can lean on my arm <br> As you break my heart"
I Guess,"[Verse 1] <br> I guess, I guess <br> I guess this is the end <br> I'll have to learn to be somebody else <br> It’s been you and me since before I was me <br> Without you, I don't yet know quite how to live <br> [Verse 2] <br>  <br>  <br>  <br> If I could keep anything of you <br> I would keep just this quiet after you <br> It's still as a pond I am staring into <br> From here, I can say, ""Thank you"" <br> From here, I can tell you, ""Thank you"""
I Will,I will take good care of you <br> I will take good care of you <br> Everything you feel is good <br> If you would only let you <br> I will wash your hair at night <br> And dry it off with care <br> I will see your body bare <br> And still I will live here <br> So stay with me <br> Hold my hand <br> There's no need <br> To be brave <br> And all the quiet nights you bear <br> Seal them up with care <br> No one needs to know they're there  <br>  <br>  <br>  <br> For I will hold them for you <br> 'cause all I ever wanted is here <br> All I ever wanted <br> All I want is <br> Always you <br> It's always you <br> And we're not out of the tunnel <br> I bet you though there's an end <br> Stay with me <br> Hold my hand <br> There's no need <br> To be brave <br> And while you sleep <br> I'll be scared <br> So by the time you wake <br> I'll be brave <br> I'll be brave <br> I'll be brave
Jobless Monday,It's a windy afternoon <br> Can't afford to buy my food <br> Or the drive I need to go <br> Further than they said I'd go <br> He only loves me when <br> There's a means he means to end <br> Oh I miss when we first met <br> He didn't know me yet <br> So take me out baby  <br>  <br>  <br>  <br> Makes no difference where we'll be <br> As long as we're out in the sun <br> Take me out baby <br> Take me out baby <br> Doesn't matter where we'll be <br> But please under the light of day <br> Take me out <br> Take me out <br> Take me out baby
Last Words of a Shooting Star,All of this turbulence wasn't forecasted <br> Apologies from the intercom <br> And I am relieved that I'd left my room tidy <br> They'll think of me kindly <br> When they come for my things <br> They'll never know how I'd stared at the dark in that room <br> With no thoughts <br> Like a blood-sniffing shark <br> And while my dreams made music in the night <br> Carefully <br> I was going to live <br> You wouldn't leave till we loved in the morning <br> You'd learned from movies how love ought to be <br> And you'd say you love me and look in my eyes  <br>  <br>  <br>  <br> But I know through mine you were <br> Looking in yours <br> And did you know the liberty bell is a replica <br> Silently housed in its original walls <br> And while its dreams played music in the night <br> Quietly <br> It was told to believe <br> I always wanted to die clean and pretty <br> But I'd be too busy on working days <br> So I am relieved that the turbulence wasn't forecasted <br> I couldn't have changed anyways <br> I am relieved that I'd left my room tidy <br> Goodbye
